route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"701",1521_SO,1521_10786,"Wzgórza Krzesławickie",,0,SO_701-02_26,898667,0,0
"701",1520_SO,1520_42444,"Czyżyny Dworzec",,0,SO_701-02_27,896806,0,0
"701",1521_SO,1521_10787,"Czyżyny Dworzec",,0,SO_701-02_27,898666,0,0
"701",1520_SO,1520_42445,"Wzgórza Krzesławickie",,0,SO_701-02_28,896807,0,0
"701",1521_SO,1521_10790,"Wzgórza Krzesławickie",,0,SO_701-02_28,898667,0,0
"701",1520_SO,1520_42446,"Czyżyny Dworzec",,0,SO_701-02_29,896806,0,0
"701",1521_SO,1521_10791,"Czyżyny Dworzec",,0,SO_701-02_29,898666,0,0
"701",1520_SO,1520_42447,"Wzgórza Krzesławickie",,0,SO_701-02_30,896807,0,0
"701",1521_SO,1521_10793,"Wzgórza Krzesławickie",,0,SO_701-02_30,898667,0,0
"701",1520_SO,1520_42448,"Czyżyny Dworzec",,0,SO_701-02_31,896806,0,0
"701",1521_SO,1521_10795,"Czyżyny Dworzec",,0,SO_701-02_31,898666,0,0
"701",1520_SO,1520_42449,"Wzgórza Krzesławickie",,0,SO_701-02_32,896807,0,0
"701",1521_SO,1521_10798,"Wzgórza Krzesławickie",,0,SO_701-02_32,898667,0,0
"701",1520_SO,1520_42450,"Czyżyny Dworzec",,0,SO_701-02_33,896806,0,0
"701",1521_SO,1521_10799,"Czyżyny Dworzec",,0,SO_701-02_33,898666,0,0
"701",1520_SO,1520_42451,"Wzgórza Krzesławickie",,0,SO_701-02_34,896807,0,0
"701",1521_SO,1521_10801,"Wzgórza Krzesławickie",,0,SO_701-02_34,898667,0,0
"701",1520_SO,1520_42452,"Czyżyny Dworzec",,0,SO_701-02_35,896806,0,0
"701",1521_SO,1521_10825,"Czyżyny Dworzec",,0,SO_701-02_35,898666,0,0
"701",1520_SO,1520_42453,"Wzgórza Krzesławickie",,0,SO_701-02_36,896807,0,0
"701",1521_SO,1521_10826,"Wzgórza Krzesławickie",,0,SO_701-02_36,898667,0,0
"701",1520_SO,1520_42454,"Czyżyny Dworzec",,0,SO_701-02_37,896806,0,0
"701",1521_SO,1521_10829,"Czyżyny Dworzec",,0,SO_701-02_37,898666,0,0
"701",1520_SO,1520_39440,"Wzgórza Krzesławickie",,0,SO_701-03_2,896807,0,0
"701",1521_SO,1521_10835,"Wzgórza Krzesławickie",,0,SO_701-03_2,898667,0,0
"701",1520_SO,1520_39446,"Czyżyny Dworzec",,0,SO_701-03_3,896806,0,0
"701",1521_SO,1521_10837,"Czyżyny Dworzec",,0,SO_701-03_3,898666,0,0
